X,Y,Z
-3838240.96648776,2611657.06147435,4358868.72987096
-3838892.87466677,2610864.38216814,4358770.16981039
-3840875.28274186,2608958.57535345,4358168.91086299
-3841724.75502311,2608387.4552608,4357764.74492315
-3842009.86846575,2609210.92293482,4357025.33165058
-3841866.60057762,2609919.03332348,4356729.53536087
-3840856.00570325,2611433.63669748,4356713.10176059
-3840664.33198754,2612300.54404176,4356364.69571681
-3841078.62803519,2614306.29925612,4354806.42928408
-3840746.23001255,2615373.39682398,4354461.17750165
-3839394.37002183,2618222.05779819,4353944.8988907
-3839225.69639298,2619041.84349828,4353602.8758582
-3839290.19757509,2620548.43374416,4352645.74392901
-3838933.60778035,2621384.23098864,4352458.24285927
-3837327.65421084,2623157.64316717,4352803.63407211
-3836806.7279527,2624249.10936736,4352606.2706291
-3836848.08272921,2625045.37942023,4352093.0889394
-3837139.93140181,2625821.17911318,4351372.57130463
-3837370.46572176,2626867.34409589,4350543.35321871
-3837356.55656237,2629476.12506496,4348989.84265209
-3837515.15799176,2630329.79365976,4348338.01378043
-3837919.61292663,2631207.97730829,4347455.60437652
-3839063.45329686,2632857.96801282,4345459.72931293
-3839535.44783333,2633734.97532525,4344517.50419465
-3839741.0963655,2634485.60172191,4343884.86168184
-3840121.77011152,2637555.42173204,4341699.65184388
-3841128.57195133,2636914.25102229,4341201.83094316
-3840739.57035254,2637803.12499071,4341007.30470027
-3839722.16926029,2639087.3358341,4341125.99960598
-3838514.85592294,2640280.98256146,4341465.5832483
-3836583.0713373,2641505.76033287,4342421.56893049
-3835913.39826916,2642723.52589779,4342273.23828941
-3834910.74690356,2645126.34391556,4341699.65184388
-3830310.06400984,2651985.09287898,4341577.67381545
-3829810.20200284,2653836.51308679,4340891.90416665
-3829762.77904821,2655978.14693017,4339632.21703621
-3829025.47652083,2658157.83427176,4338952.77781032
-3825997.04295895,2663688.97648516,4338236.95810792
-3825526.61160541,2664910.67229642,4337903.75375606
-3825429.17516514,2666126.15241188,4337247.1772993
-3826010.66232346,2667145.08268558,4336115.28848153
-3827284.62437289,2667693.91827358,4334662.92908898
-3828118.85470559,2667015.27825426,4334345.99484003
-3828878.76724731,2665880.9699011,4334372.40672345
-3829948.96613749,2665035.24677443,4333949.79887415
-3830076.08858092,2666036.17964238,4333226.66077884
-3829878.76130953,2666876.07582466,4332886.51883506
-3828268.48849012,2669543.26549066,4332668.55166086
-3828387.68681215,2669933.50456953,4332325.06906838
-3828721.90452211,2670312.08771548,4331799.89167834
-3828904.38129229,2671150.78830281,4331125.99897207
-3828464.01993626,2673188.68581036,4330263.68116763
-3827380.23905604,2674858.65059639,4330190.98865111
-3824414.50787914,2677575.20283811,4331125.99897207
-3826816.99445495,2677354.25035713,4329153.35351188
-3827746.42531467,2677478.17573912,4328260.94868488
-3828378.59407033,2678301.00722061,4327199.77297143
-3828362.81915593,2679221.45717924,4326647.60893957
