sim_time	pts.pos_.x	pts.pos_.y	pts.pos_.z	pts.vel_.x	pts.vel_.y	pts.vel_.z	gts.f_thrust_.x	gts.f_thrust_.y	gts.f_thrust_.z
0.000000	-4020669.944000000134	2639571.270000000019	4372906.047000000253	-2046.201518000000	-1830.379092000000	580.207958600000	0.000000000000	0.000000000000	0.000000000000
1.000000	-4022717.807989379857	2637737.034204271156	4373485.330830036663	-2049.530190317008	-1838.101323330605	578.358281929767	-118448.718670330069	-50637.173738002806	57966.932652886986
2.000000	-4024769.012208210304	2635895.106828359887	4374062.808906625956	-2052.882115327575	-1845.761989258888	576.596660140077	-118376.144165506703	-49725.843115013078	58896.660508116096
3.000000	-4026823.579176256899	2634045.480807542801	4374638.512811072171	-2056.255660497400	-1853.498662716454	574.809896862600	-118274.320798694360	-50595.935820954095	58357.723721967035
4.000000	-4028881.531282576267	2632188.092789812479	4375212.426492984407	-2059.652385169321	-1861.286031964297	573.016188143909	-118191.493807797495	-51135.749203712236	58054.229345125284
5.000000	-4030942.891621951945	2630322.891409256030	4375784.542601321824	-2063.072119284119	-1869.125435644671	571.214723128860	-118104.581844589324	-51688.025570584607	57741.175602244897
6.000000	-4033007.683180987835	2628449.824455174152	4376354.853271172382	-2066.514817035751	-1877.017226761154	569.405284294012	-118015.202288310422	-52240.156987784860	57426.175449360766
7.000000	-4035075.928901921492	2626568.839405701496	4376923.350453983992	-2069.980435586407	-1884.961674495516	567.587721982535	-117923.401774658036	-52791.032367576881	57110.120079177184
8.000000	-4037147.651683559641	2624679.883462968282	4377490.025946817361	-2073.468930896888	-1892.959061671299	565.761877093040	-117829.169725628672	-53340.790159278004	56792.908597402071
9.000000	-4039222.874380572233	2622782.903545442503	4378054.871387193911	-2076.980258747723	-1901.009672793911	563.927589645036	-117732.508977252597	-53889.416168117292	56474.549621759630
10.000000	-4041301.619803298730	2620877.846286082175	4378617.878252120689	-2080.514374687687	-1909.113794388820	562.084698592274	-117633.421744739855	-54436.900109561197	56155.049595613877
11.000000	-4043383.910717509221	2618964.658030275255	4379179.037857009098	-2084.071234031059	-1917.271715074181	560.233041772932	-117531.910243235820	-54983.232261845056	55834.414518430844
12.000000	-4045469.769844171125	2617043.284833734855	4379738.341354538687	-2087.650791857388	-1925.483725585186	558.372455899538	-117427.976721495463	-55528.402847037083	55512.650453325419
13.000000	-4047559.219859213103	2615113.672460368369	4380295.779733537696	-2091.253003010769	-1933.750118804248	556.502776544677	-117321.623455785491	-56072.402098196944	55189.763476907654
14.000000	-4049652.283393291291	2613175.766380112618	4380851.343817837536	-2094.877822099151	-1942.071189791512	554.623838126585	-117212.852750345002	-56615.220257374116	54865.759680651012
15.000000	-4051748.983031545766	2611229.511766746175	4381405.024265095592	-2098.525203493641	-1950.447235815897	552.735473894506	-117101.666937524758	-57156.847575575106	54540.645171060292
16.000000	-4053849.341313377488	2609274.853495657910	4381956.811565625481	-2102.195101327815	-1958.878556386663	550.837515913807	-116988.068377914140	-57697.274312878035	54214.426069718524
17.000000	-4055953.380732197315	2607311.736141595524	4382506.696041214280	-2105.887469497036	-1967.365453285531	548.929795050852	-116872.059460469274	-58236.490738570443	53887.108513307139
18.000000	-4058061.123735195026	2605340.103976376355	4383054.667843907140	-2109.602261657750	-1975.908230599357	547.012140957608	-116753.642602650449	-58774.487131256261	53558.698653630148
19.000000	-4060172.592723088805	2603359.900966557674	4383600.716954778880	-2113.339431226816	-1984.507194753387	545.084382056005	-116632.820250544886	-59311.253778971412	53229.202657662769
20.000000	-4062287.810049900319	2601371.070771096274	4384144.833182730712	-2117.098931380818	-1993.162654545072	543.146345522027	-116509.594878997377	-59846.780979294541	52898.626707583440
21.000000	-4064406.798022709787	2599373.556738949381	4384687.006163185462	-2120.880715055370	-2001.874921178503	541.197857269527	-116383.968991739486	-60381.059039486063	52566.977000774285
22.000000	-4066529.578901404981	2597367.301906649489	4385227.225356842391	-2124.684734944450	-2010.644308299432	539.238741933781	-116255.945121506607	-60914.078276574990	52234.259749904930
23.000000	-4068656.174898447469	2595352.248995849863	4385765.480048407800	-2128.510943499703	-2019.471132030920	537.268822854745	-116125.525830171158	-61445.829017494703	51900.481182924115
24.000000	-4070786.608178633265	2593328.340410823002	4386301.759345254861	-2132.359292929772	-2028.355711009624	535.287922060036	-115992.713708867479	-61976.301599190258	51565.647543096929
25.000000	-4072920.900858846027	2591295.518235938624	4386836.052176128142	-2136.229735199624	-2037.298366422704	533.295860247612	-115857.511378110983	-62505.486368731545	51229.765089049601
26.000000	-4075059.075007809326	2589253.724233089015	4387368.347289807163	-2140.122222029848	-2046.299422045425	531.292456768161	-115719.921487918691	-63033.373683442675	50892.840094785628
27.000000	-4077201.152645844501	2587202.899839073420	4387898.633253717795	-2144.036704896002	-2055.359204279404	529.277529607168	-115579.946717942017	-63559.953911006392	50554.878849705659
28.000000	-4079347.155744625721	2585142.986162965186	4388426.898452601396	-2147.973135027928	-2064.478042191550	527.250895366694	-115437.589777577683	-64085.217429576929	50215.887658663894
29.000000	-4081497.106226933654	2583073.923983420711	4388953.131087091751	-2151.931463409084	-2073.656267553714	525.212369246809	-115292.853406095033	-64609.154627904660	49875.872841968056
30.000000	-4083651.025966413319	2580995.653745958116	4389477.319172319956	-2155.911640775857	-2082.894214883056	523.161765026720	-115145.740372753949	-65131.755905446713	49534.840735422236
31.000000	-4085808.936787313782	2578908.115560182836	4389999.450536480173	-2159.913617616901	-2092.192221483122	521.098895045552	-114996.253476924001	-65653.011672490306	49192.797690341751
32.000000	-4087970.860464254860	2576811.249196991324	4390519.512819365598	-2163.937344172466	-2101.550627485709	519.023570182797	-114844.395548209272	-66172.912350251863	48849.750073591102
33.000000	-4090136.818721969146	2574704.994085712824	4391037.493470928632	-2167.982770433718	-2110.969775893454	516.935599838409	-114690.169446555679	-66691.448371016580	48505.704267605150
34.000000	-4092306.833235061262	2572589.289311223198	4391553.379749752581	-2172.049846142075	-2120.450012623231	514.834791912545	-114533.578062384564	-67208.610178229908	48160.666670410443
35.000000	-4094480.925627741497	2570464.073611004744	4392067.158721576445	-2176.138520788541	-2129.991686550340	512.720952784947	-114374.624316690766	-67724.388226638475	47814.643695664818
36.000000	-4096659.117473595776	2568329.285372166894	4392578.817257747054	-2180.248743613031	-2139.595149553496	510.593887293950	-114213.311161182908	-68238.772982381677	47467.641772662042
37.000000	-4098841.430295319296	2566184.862628416158	4393088.342033660971	-2184.380463603715	-2149.260756560680	508.453398715102	-114049.641578382056	-68751.754923131390	47119.667346366907
38.000000	-4101027.885564466938	2564030.743056995794	4393595.719527212903	-2188.533629496334	-2158.988865595824	506.299288739415	-113883.618581744711	-69263.324538189379	46770.726877451300
39.000000	-4103218.504701209255	2561866.863975546788	4394100.936017182656	-2192.708189773552	-2168.779837826361	504.131357451200	-113715.245215783187	-69773.472328616583	46420.826842292241
40.000000	-4105413.309074068908	2559693.162338957191	4394603.977581620216	-2196.904092664284	-2178.634037611687	501.949403305507	-113544.524556175253	-70282.188807353465	46069.973733003419
41.000000	-4107612.319999666885	2557509.574736140203	4395104.830096212216	-2201.121286143032	-2188.551832552509	499.753223105147	-113371.459709884264	-70789.464499320122	45718.174057474847
42.000000	-4109815.558742476162	2555316.037386761047	4395603.479232607409	-2205.359717929221	-2198.533593541145	497.542611977294	-113196.053815274645	-71295.289941547337	45365.434339375206
43.000000	-4112023.046519546770	2553112.486153119244	4396099.910468244925	-2209.619345475230	-2208.579664470079	495.317386390993	-113018.422007793735	-71799.318461594783	45012.017898764941
44.000000	-4114234.804494971875	2550898.856520722155	4396594.109072889201	-2213.900105381334	-2218.690454958800	493.077314483075	-112838.336278632982	-72302.234468191455	44657.410995005252
45.000000	-4116450.853774768300	2548675.083579862956	4397086.060095068999	-2218.201944920193	-2228.866345874853	490.822185685437	-112655.922678449439	-72803.669559571703	44301.877884892427
46.000000	-4118671.215420924127	2546441.102063651197	4397575.748391396366	-2222.524828792205	-2239.107670753717	488.551826704308	-112471.380724456219	-73303.054740896710	43945.856273231388
47.000000	-4120895.910441226792	2544196.846316399518	4398063.158604227938	-2226.868683812671	-2249.414873589830	486.265982319213	-112284.295599819627	-73801.558975287437	43588.466989210290
48.000000	-4123124.959780563135	2541942.250266162213	4398548.275141579099	-2231.233457408543	-2259.788342952878	483.964439054788	-112094.902796433424	-74298.521297747022	43230.198935771667
49.000000	-4125358.384330413304	2539677.247448892798	4399031.082196014002	-2235.619095350773	-2270.228474489363	481.646979495373	-111903.190283460426	-74793.969619795709	42871.035827195949
50.000000	-4127596.204927977640	2537401.771003197879	4399511.563741826452	-2240.025543297443	-2280.735667257517	479.313384506669	-111709.163073019721	-75287.891121536624	42510.986062395066
51.000000	-4129838.442355972249	2535115.753666714299	4399989.703533220105	-2244.452746628896	-2291.310324143101	476.963433028644	-111512.824409860797	-75780.276871881972	42150.056101462629
52.000000	-4132085.117342371959	2532819.127772272099	4400465.485102368519	-2248.900650466587	-2301.952851878239	474.596902068879	-111314.177784153711	-76271.117497487794	41788.252654570591
53.000000	-4134336.250560129061	2530511.825244024396	4400938.891757470556	-2253.369199670191	-2312.663661108333	472.213566671222	-111113.226694250174	-76760.403690796331	41425.582419782135
54.000000	-4136591.862626937218	2528193.777593492530	4401409.906580787152	-2257.858338837204	-2323.443166454788	469.813199886765	-110909.974673829012	-77248.126152179830	41062.052114178266
55.000000	-4138851.974104948808	2525864.915915564634	4401878.512426607311	-2262.368012302258	-2334.291786579631	467.395572743923	-110704.425289021994	-77734.275596435589	40697.668470377190
56.000000	-4141116.605500521604	2523525.170884412248	4402344.691919229925	-2266.898164136486	-2345.209944251296	464.960454217964	-110496.582138862999	-78218.842752176774	40332.438236979244
57.000000	-4143385.777263950091	2521174.472749363631	4402808.427450896241	-2271.448738146868	-2356.198066411765	462.507611199947	-110286.448855353898	-78701.818362069229	39966.368178498196
58.000000	-4145659.509789208882	2518812.751330688596	4403269.701179676689	-2276.019677875581	-2367.256584245028	460.036808465032	-110074.029103592111	-79183.193182917792	39599.465075405707
59.000000	-4147937.823413673323	2516439.936015323270	4403728.495027341880	-2280.610926599368	-2378.385933246941	457.547808640179	-109859.326581873291	-79662.957985800749	39231.735724153834
60.000000	-4150220.738417868502	2514055.955752520356	4404184.790677211247	-2285.222427328885	-2389.586553296468	455.040372171199	-109642.345021811750	-80141.103556180999	38863.186937196340
61.000000	-4152508.275025199167	2511660.739049431868	4404638.569571934640	-2289.854122808062	-2400.858888728383	452.514257289149	-109423.088188452311	-80617.620694045618	38493.825542977516
62.000000	-4154800.453401673120	2509254.213966619689	4405089.812911282293	-2294.505955513458	-2412.203388407449	449.969219976051	-109201.559880378176	-81092.500214013460	38123.658385999617
63.000000	-4157097.293655646034	2506836.308113480918	4405538.501649862155	-2299.177867653630	-2423.620505804102	447.405013929930	-108977.763929842768	-81565.732945460375	37752.692326790624
64.000000	-4159398.815837545320	2504406.948643608484	4405984.616494823247	-2303.869801168488	-2435.110699071687	444.821390529132	-108751.704202860783	-82037.309732659080	37380.934241953379
65.000000	-4161705.039939605165	2501966.062250067480	4406428.137903509662	-2308.581697728674	-2446.674431125292	442.218098795934	-108523.384599345562	-82507.221434876526	37008.391024182136
66.000000	-4164015.985895592719	2499513.575160592794	4406869.046081112698	-2313.313498734915	-2458.312169722203	439.594885359407	-108292.809053204983	-82975.458926524036	36635.069582284472
67.000000	-4166331.673580541741	2497049.413132709917	4407307.320978222415	-2318.065145317397	-2470.024387544018	436.951494417513	-108059.981532474310	-83442.013097276795	36260.976841160744
68.000000	-4168652.122810483444	2494573.501448764931	4407742.942288401537	-2322.836578335136	-2481.811562280497	434.287667698431	-107824.906039418434	-83906.874852196022	35886.119741879309
69.000000	-4170977.353342169896	2492085.764910870232	4408175.889445699751	-2327.627738375360	-2493.674176715138	431.603144421087	-107587.586610658705	-84370.035111857025	35510.505241660678
70.000000	-4173307.384872806724	2489586.127835774329	4408606.141622106545	-2332.438565752872	-2505.612718812564	428.897661254858	-107348.027317285800	-84831.484812490919	35134.140313879667
71.000000	-4175642.237039770931	2487074.514049633406	4409033.677724977024	-2337.269000509436	-2517.627681807737	426.170952278444	-107106.232264975712	-85291.214906098015	34757.031948123717
72.000000	-4177981.929420350119	2484550.846882696729	4409458.476394450292	-2342.118982413156	-2529.719564297087	423.422748937880	-106862.205594115716	-85749.216360573380	34379.187150200501
73.000000	-4180326.481531463563	2482015.049163898919	4409880.516000765376	-2346.988450957861	-2541.888870331545	420.652780003669	-106615.951479915748	-86205.480159858533	34000.612942129163
74.000000	-4182675.912829385605	2479467.043215353973	4410299.774641583674	-2351.877345362500	-2554.136109511587	417.860771527002	-106367.474132523290	-86659.997304066768	33621.316362185309
75.000000	-4185030.242709467653	2476906.750846759416	4410716.230139230378	-2356.785604570514	-2566.461797084301	415.046446795064	-106116.777797155868	-87112.758809608626	33241.304464897330
76.000000	-4187389.490505875088	2474334.093349701259	4411129.860037925653	-2361.713167249251	-2578.866454042545	412.209526285381	-105863.866754219984	-87563.755709316407	32860.584321096736
77.000000	-4189753.675491292030	2471748.991491864435	4411540.641600941308	-2366.659971789349	-2591.350607226245	409.349727619194	-105608.745319424503	-88012.979052602823	32479.163017895764
78.000000	-4192122.816876659635	2469151.365511121694	4411948.551807724871	-2371.625956304149	-2603.914789425898	406.466765513835	-105351.417843902658	-88460.419905588613	32097.047658723706
79.000000	-4194496.933810893446	2466541.135109534487	4412353.567350963131	-2376.611058629080	-2616.559539488338	403.560351734077	-105091.888714345070	-88906.069351228143	31714.245363343205
80.000000	-4196876.045380602591	2463918.219447246287	4412755.664633605629	-2381.615216321097	-2629.285402424773	400.630195042428	-104830.162353118329	-89349.918489444899	31330.763267887665
81.000000	-4199260.170609822497	2461282.537136261817	4413154.819765849039	-2386.638366658069	-2642.092929521267	397.676001148346	-104566.243218381875	-89791.958437289722	30946.608524848853
82.000000	-4201649.328459721059	2458634.006234115921	4413551.008562061004	-2391.680446638208	-2654.982678451596	394.697472656351	-104300.135804215810	-90232.180329073148	30561.788303104218
83.000000	-4204043.537828321569	2455972.544237426016	4413944.206537620164	-2396.741392979500	-2667.955213392644	391.694309012984	-104031.844640757990	-90670.575316495801	30176.309787925948
84.000000	-4206442.817550223321	2453298.068075333256	4414334.388905763626	-2401.821142119120	-2681.011105142355	388.666206452617	-103761.374294315843	-91107.134568797192	29790.180181025538
85.000000	-4208847.186396330595	2450610.494102819823	4414721.530574328266	-2406.919630212868	-2694.150931240315	385.612857942049	-103488.729367512002	-91541.849272887222	29403.406700548832
86.000000	-4211256.663073554635	2447909.738093906082	4415105.606142461300	-2412.036793134612	-2707.375276091067	382.533953123874	-103213.914499382721	-91974.710633523136	29015.996581089843
87.000000	-4213671.266224542633	2445195.715234724805	4415486.589897273108	-2417.172566475739	-2720.684731090182	379.429178258588	-102936.934365544250	-92405.709873408035	28627.957073727408
88.000000	-4216091.014427387156	2442468.340116460342	4415864.455810396001	-2422.326885544591	-2734.079894753198	376.298216165394	-102657.793678294416	-92834.838233374365	28239.295446025772
89.000000	-4218515.926195351407	2439727.526728168596	4416239.177534574643	-2427.499685365936	-2747.561372847495	373.140746161675	-102376.497186760724	-93262.086972504563	27850.018982079451
90.000000	-4220946.019976589829	2436973.188449459616	4416610.728400053456	-2432.690900680434	-2761.129778527184	369.956444001086	-102093.049677018964	-93687.447368314679	27460.134982461688
91.000000	-4223381.314153835177	2434205.238043031655	4416979.081411048770	-2437.900465944090	-2774.785732471085	366.744981810261	-101807.455972232841	-94110.910716865241	27069.650764354446
92.000000	-4225821.827044154517	2431423.587647091132	4417344.209242055193	-2443.128315327760	-2788.529863023908	363.506028024047	-101519.720932794124	-94532.468332937657	26678.573661455936
93.000000	-4228267.576898629777	2428628.148767599370	4417706.084234122187	-2448.374382716619	-2802.362806340683	360.239247319265	-101229.849456446449	-94952.111550183341	26286.911024058507
94.000000	-4230718.581902089529	2425818.832270401530	4418064.678391079418	-2453.638601709665	-2816.285206534569	356.944300546945	-100937.846478433479	-95369.831721262090	25894.670219069132
95.000000	-4233174.860172812827	2422995.548373182770	4418419.963375663385	-2458.920905619225	-2830.297715828111	353.620844662983	-100643.716971629066	-95785.620218020165	25501.858629986808
96.000000	-4235636.429762254469	2420158.206637292169	4418771.910505579785	-2464.221227470464	-2844.400994708051	350.268532657185	-100347.465946681943	-96199.468431628164	25108.483656957298
