sim_time	pts.pos_.x	pts.pos_.y	pts.pos_.z	pts.vel_.x	pts.vel_.y	pts.vel_.z	gts.f_thrust_.x	gts.f_thrust_.y	gts.f_thrust_.z
0.000000	-4020669.944000000134	2639571.270000000019	4372906.047000000253	-2046.201518000000	-1830.379092000000	580.207958600000	0.000000000000	0.000000000000	0.000000000000
1.000000	-4022717.349579787347	2637735.662809890229	4373484.437573451549	-2048.612301558647	-1840.841478078349	576.571982898333	-106557.797074350121	-85911.817041007569	34913.939556773912
2.000000	-4024767.193701387849	2635889.610357145779	4374059.215413422324	-2051.078651837592	-1851.269648615802	572.982527065792	-106936.313877397813	-85249.363522364598	35377.371204576288
3.000000	-4026819.514057155233	2634033.111110846978	4374630.395167512819	-2053.564769691337	-1861.735103275715	569.375805644021	-106849.196314308632	-85506.813959171865	35017.447273293525
4.000000	-4028874.331123510841	2632166.129217006266	4375197.961124819703	-2056.072073815842	-1872.234984772567	565.754926891419	-106778.725458738059	-85724.425179683181	34698.909450015082
5.000000	-4030931.666002820712	2630288.630082423333	4375761.899251779541	-2058.600396714276	-1882.769626025197	562.120138133621	-106704.482197320933	-85943.100926857122	34384.945573283701
6.000000	-4032991.539627603255	2628400.578767244704	4376322.195741160773	-2061.149566108005	-1893.339387501187	558.471644651907	-106626.422886970846	-86163.152366908966	34074.986669486250
7.000000	-4035053.972760894336	2626501.939968897961	4376878.836981809698	-2063.719415314101	-1903.944634171585	554.809633334815	-106544.638169088677	-86384.591436500661	33768.773145715706
8.000000	-4037118.986003882717	2624592.678021857049	4377431.809544428252	-2066.309787310343	-1914.585726977243	551.134280980455	-106459.269157895033	-86607.321863010395	33466.153201164168
9.000000	-4039186.599805024453	2622672.756900932640	4377981.100171166472	-2068.920533647846	-1925.263024315668	547.445753715257	-106370.441676707007	-86831.266702902023	33166.969416450462
10.000000	-4041256.834468441084	2620742.140223748051	4378526.695765252225	-2071.551514100299	-1935.976882162397	543.744207571846	-106278.275730770445	-87056.350954543799	32871.073395519204
11.000000	-4043329.710161942057	2618800.791253050324	4379068.583381114528	-2074.202596270216	-1946.727654314737	540.029788922408	-106182.885041430418	-87282.503057413080	32578.323841337471
12.000000	-4045405.246924672741	2616848.672898768447	4379606.750214933418	-2076.873655227795	-1957.515692611917	536.302634897447	-106084.377533808656	-87509.654547722661	32288.586283740748
13.000000	-4047483.464674422517	2614885.747719866689	4380141.183595593087	-2079.564573172400	-1968.341347147361	532.562873778748	-105982.855692040757	-87737.739914727877	32001.732672085647
14.000000	-4049564.383214579429	2612911.977925991639	4380671.870976013131	-2082.275239115764	-1979.204966472122	528.810625369615	-105878.416897872099	-87966.696447015682	31717.641012518328
15.000000	-4051648.022240810562	2610927.325378923677	4381198.799924858846	-2085.005548585186	-1990.106897790227	525.046001343810	-105771.153742936716	-88196.464090269539	31436.195028371898
16.000000	-4053734.401347422507	2608931.751593816094	4381721.958118565381	-2087.755403345324	-2001.047487146444	521.269105574642	-105661.154318173474	-88426.985313503639	31157.283843694779
17.000000	-4055823.540033481549	2606925.217740268912	4382241.333333687857	-2090.524711137180	-2012.027079606996	517.480034445530	-105548.502482233336	-88658.204983358330	30880.801687890358
18.000000	-4057915.457708658185	2604907.684643227141	4382756.913439573720	-2093.313385433103	-2023.046019433675	513.678877143245	-105433.278110681698	-88890.070245839175	30606.647619846193
19.000000	-4060010.173698851839	2602879.112783688121	4383268.686391290277	-2096.121345206648	-2034.104650251793	509.865715934968	-105315.557327546165	-89122.530415072819	30334.725269940445
20.000000	-4062107.707251573913	2600839.462299276143	4383776.640222840011	-2098.948514716301	-2045.203315212377	506.040626430173	-105195.412720736116	-89355.536868468960	30064.942598675614
21.000000	-4064208.077541139908	2598788.692984617781	4384280.763040633872	-2101.794823302071	-2056.342357148999	502.203677828318	-105072.913542596216	-89589.042947939728	29797.211670596342
22.000000	-4066311.303673648741	2596726.764291595202	4384781.043017202057	-2104.660205194154	-2067.522118729577	498.354933153199	-104948.125896829399	-89823.003866716084	29531.448442349756
23.000000	-4068417.404691786040	2594653.635329436976	4385277.468385103159	-2107.544599332798	-2078.742942603479	494.494449474802	-104821.112912848912	-90057.376621405972	29267.572563880520
24.000000	-4070526.399579443038	2592569.264864660334	4385770.027431099676	-2110.447949198684	-2090.005171544276	490.622278119400	-104691.934908552983	-90292.119908943088	29005.507191778794
25.000000	-4072638.307266192045	2590473.611320890486	4386258.708490503952	-2113.370202653117	-2101.309148588377	486.738464868594	-104560.649542442567	-90527.194048091042	28745.178813876788
26.000000	-4074753.146631577052	2588366.632778513245	4386743.499941741116	-2116.311311787431	-2112.655217169876	482.843050147956	-104427.311955865996	-90762.560905232473	28486.517084336683
27.000000	-4076870.936509272084	2586248.286974223796	4387224.390201073140	-2119.271232780999	-2124.043721251819	478.936069205859	-104291.974906181800	-90998.183824138701	28229.454668424369
28.000000	-4078991.695691121742	2584118.531300428789	4387701.367717490532	-2122.249925767328	-2135.475005454177	475.017552283075	-104154.688891491358	-91234.027559474343	27973.927096382446
29.000000	-4081115.442931008991	2581977.322804527357	4388174.420967816375	-2125.247354707764	-2146.949415178735	471.087524773648	-104015.502267562435	-91470.058213832031	27719.872625697706
30.000000	-4083242.196948628407	2579824.618188071065	4388643.538451912813	-2128.263487272328	-2158.467296731078	467.146007377534	-103874.461357568813	-91706.243178004821	27467.232111219448
31.000000	-4085371.976433152799	2577660.373805793002	4389108.708688071929	-2131.298294727265	-2170.028997439948	463.193016245448	-103731.610555090359	-91942.551074394287	27215.948882584449
32.000000	-4087504.800046759658	2575484.545664539561	4389569.920208518393	-2134.351751828930	-2181.634865774085	459.228563116355	-103586.992420913288	-92178.951703283921	26965.968628501159
33.000000	-4089640.686428080313	2573297.089422059711	4390027.161555090919	-2137.423836723621	-2193.285251456811	455.252655447983	-103440.647774067766	-92415.415991822752	26717.239287388646
34.000000	-4091779.654195543379	2571097.960385700222	4390480.421274999157	-2140.514530853060	-2204.980505578448	451.265296540732	-103292.615777467610	-92651.915945600369	26469.710943979342
35.000000	-4093921.721950612962	2568887.113510991447	4390929.687916732393	-2143.623818865154	-2216.720980706814	447.266485655314	-103142.934018574379	-92888.424602595725	26223.335731518160
36.000000	-4096066.908280969597	2566664.503400096204	4391374.950026076287	-2146.751688529816	-2228.507030995886	443.256218124453	-102991.638585399312	-93124.915989402987	25978.067739174377
37.000000	-4098215.231763582677	2564430.084300187416	4391816.196142244153	-2149.898130659503	-2240.339012292815	439.234485458937	-102838.764138170591	-93361.365079593612	25733.862924337234
38.000000	-4100366.710967716761	2562183.810101698153	4392253.414794085547	-2153.063139034281	-2252.217282243424	435.201275448295	-102684.343976945587	-93597.747754091659	25490.679029514697
39.000000	-4102521.364457863383	2559925.634336460382	4392686.594496448524	-2156.246710331130	-2264.142200396311	431.156572256382	-102528.410105460091	-93834.040763434183	25248.475503537786
40.000000	-4104679.210796608124	2557655.510175765026	4393115.723746564239	-2159.448844057307	-2276.114128305711	427.100356512089	-102370.993291442894	-94070.221691837593	25007.213426767132
41.000000	-4106840.268547427841	2555373.390428300016	4393540.791020566598	-2162.669542487568	-2288.133429633213	423.032605395433	-102212.123123620768	-94306.268922949079	24766.855440168674
42.000000	-4109004.556277424563	2553079.227537991479	4393961.784770087339	-2165.908810605009	-2300.200470248468	418.953292719224	-102051.828065658978	-94542.161607188813	24527.365677898943
43.000000	-4111172.092560011428	2550772.973581749946	4394378.693418934941	-2169.166656045403	-2312.315618328987	414.862389006521	-101890.135507189218	-94777.879630624622	24288.709703263943
44.000000	-4113342.895977537613	2548454.580267107114	4394791.505359825678	-2172.443089044846	-2324.479244459148	410.759861564066	-101727.071812154012	-95013.403585247463	24050.854447851299
45.000000	-4115516.985123860184	2546123.998929760884	4395200.208951213397	-2175.738122390551	-2336.691721728509	406.645674551868	-101562.662364591932	-95248.714740624360	23813.768153635338
46.000000	-4117694.378606878687	2543781.180531024933	4395604.792514160275	-2179.051771374649	-2348.953425829539	402.519789049112	-101396.931612056826	-95483.795016819422	23577.420317878357
47.000000	-4119875.095051010139	2541426.075655178167	4396005.244329316542	-2182.384053750882	-2361.264735154846	398.382163116542	-101229.903106793587	-95718.626958530775	23341.781640714544
48.000000	-4122059.153099644464	2539058.634506710805	4396401.552633902058	-2185.734989694032	-2373.626030894005	394.232751855473	-101061.599544817829	-95953.193710388499	23106.823975170759
49.000000	-4124246.571417524479	2536678.806907481514	4396793.705618792213	-2189.104601761980	-2386.037697130083	390.071507463572	-100892.042803014119	-96187.478993336772	22872.520279609831
50.000000	-4126437.368693129625	2534286.542293778155	4397181.691425636411	-2192.492914860288	-2398.500120935948	385.898379287527	-100721.253974396066	-96421.467082040734	22638.844572374564
51.000000	-4128631.563641006127	2531881.789713281207	4397565.498144021258	-2195.899956209203	-2411.013692470439	381.713313872740	-100549.253401598544	-96655.142783299219	22405.771888537613
